Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
5463.45,6.0,64.0,136.30133784200942,136.30133784200942,0.0,0.03,0.0,0.4,0.36,0.6,0.0,0.0,0.03,0.03,2.6,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5756.22,232.6,778.76,526.1615402804539,237.4703889153554,597.28,84666975.66435571,9.5,27.33754100858961,334.7756041327165,128919.60791049938,0.69,141.55
2962.98,6.0,64.0,144.133020576602,144.133020576602,0.0,0.0,0.03,0.48,0.18,0.52,0.0,0.0,0.09,0.22,3.6,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3849.49,100.51,774.62,355.4374006855718,297.364899663064,353.97,84666975.66503441,9.5,23.016135818365218,420.9108242745773,190652.5591954469,0.8,141.55
3571.21,6.0,64.0,144388.41856423437,144388.41856423437,0.0,0.0,0.05,0.3,0.39,0.7,0.0,0.0,0.03,0.1,3.69,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5237.34,107.15,962.1,497.4607715482403,340.4371297068625,455.81,84666975.66562694,9.5,28.39711426582387,480.66152857697807,192781.6360822849,0.89,141.55
2325.2,6.0,64.0,314.5181557895231,314.5181557895231,0.0,0.0,0.1,0.71,0.14,0.29,0.0,0.0,0.0,0.1,3.6,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2442.95,54.0,564.02,184.0550510669241,190.0290258457541,256.04,84666975.66606703,9.5,16.79435415089135,269.06417376197675,105058.46663498192,0.55,141.55
1585.51,6.0,64.0,93.6573095376596,93.6573095376596,0.0,0.0,0.0,0.69,0.2,0.31,0.0,0.0,0.0,0.0,5.47,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2389.47,78.5,565.0,234.8269277265562,193.46432549756307,252.04,84666975.66648497,9.5,18.1015617985926,271.3871388846337,111126.6941215272,0.34,141.55
3140.07,6.0,64.0,90872.83056717082,90872.83056717082,0.0,0.07,0.0,0.45,0.22,0.55,0.0,0.0,0.07,0.0,3.19,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4892.68,129.64,1208.32,508.1681955794463,460.1215566210216,476.14,84666975.66703583,9.5,29.215529204868,650.8728203318674,291090.0297812946,0.79,141.55
6071.22,6.0,64.0,378.7492910455549,378.7492910455549,0.0,0.0,0.05,0.32,0.41,0.68,0.0,0.0,0.0,0.05,2.88,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6884.15,146.35,1278.73,623.2167421020243,479.63265159209607,682.55,84666975.66794191,9.5,33.21318548162351,678.3176451125504,290397.55652168475,0.87,141.55
4091.3,6.0,64.0,605.0849409284568,605.0849409284568,0.0,0.08,0.18,0.15,0.39,0.67,0.0,0.0,0.13,0.22,2.37,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4096.06,76.1,1056.56,377.32211028376514,408.22289981260326,377.8,84666975.66834831,9.5,25.32613502043412,577.8514403236695,251393.7222365997,0.93,141.55
4393.2,6.0,64.0,127577.28407290464,127577.28407290464,0.0,0.0,0.18,0.32,0.49,0.53,0.0,0.0,0.02,0.18,5.33,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1272.46,88.88,184.96,122.60969056519674,33.0454414078524,115.63,84666975.66936643,9.5,15.298297436857602,46.77964676915394,2184.893512989846,0.69,141.55
4151.74,6.0,64.0,84.14550258892663,84.14550258892663,0.0,0.02,0.06,0.19,0.46,0.75,0.0,0.0,0.11,0.5,3.22,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1692.87,67.27,344.96,138.40109065001903,110.42593302377196,203.04,84666975.6702469,9.5,15.604699491660911,155.43064954633334,53464.51699174196,0.82,141.55
10628.49,6.0,64.0,68.88506328638508,68.88506328638508,0.0,0.05,0.07,0.13,0.39,0.8,0.0,0.0,0.06,0.13,2.53,9.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9397.58,487.02,1470.8,969.6280579286124,374.02785202261606,891.62,84666975.67121741,9.5,41.92483575024552,528.3453667331369,213834.23207141703,0.73,141.55
12406.48,6.0,64.0,83.82018926259843,83.82018926259843,0.0,0.02,0.21,0.27,0.37,0.56,0.0,0.0,0.03,0.23,4.41,9.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5215.4,114.87,1193.39,509.69113963100887,431.6838084717381,491.82,84666975.67262265,9.5,29.78491910766892,610.963072651504,249972.52564218844,0.93,141.55
6589.75,6.0,64.0,21037.76193765154,21037.76193765154,0.0,0.06,0.12,0.06,0.5,0.82,0.0,0.0,0.08,0.16,4.12,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5957.22,180.7,1271.74,586.3290181855898,414.52128875071264,570.77,84666975.67317179,9.5,32.23866436036702,586.0684266897953,216707.5138119747,0.94,141.55
8164.93,6.0,64.0,375.56746235821015,375.56746235821015,0.0,0.0,0.2,0.32,0.13,0.55,0.0,0.0,0.03,0.2,8.52,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4569.86,232.32,783.48,410.6283807831744,217.1571856393195,427.69,84666975.67445976,9.5,24.06029599530704,307.41514349056115,125394.2815260486,0.74,141.55
4189.29,6.0,64.0,353.0889762846848,353.0889762846848,0.0,0.0,0.0,0.19,0.65,0.81,0.0,0.0,0.0,0.0,4.9,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2496.3,104.81,536.77,208.5795843591823,155.88391104984711,271.77,84666975.67489482,9.5,19.63454567146929,220.710979150795,73712.74205612838,0.76,141.55
12606.87,6.0,64.0,97.88496711507558,97.88496711507558,0.0,0.0,0.15,0.17,0.51,0.73,0.0,0.0,0.0,0.25,12.37,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5099.94,95.74,1248.98,443.88563174866925,440.07802976262246,503.83,84666975.6756137,9.5,28.52040403455172,622.6168766304213,246619.3917404888,0.86,141.55
10597.72,6.0,64.0,144.15465295952023,144.15465295952023,0.0,0.01,0.11,0.32,0.28,0.67,0.0,0.0,0.01,0.16,10.0,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2687.91,101.03,774.0,261.2508120807641,255.4325550087486,385.98,84666975.67633271,9.5,20.68515340035676,360.95077659487,143360.6092292171,0.84,141.55
10961.71,6.0,64.0,95.6926556530886,95.6926556530886,0.0,0.01,0.1,0.19,0.19,0.8,0.0,0.0,0.03,0.11,7.43,9.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6430.64,202.18,1017.18,580.1834767925571,325.7531271477451,560.88,84666975.67705716,9.5,30.076595941253444,460.2693557802588,191258.1014283888,0.77,141.55
10172.93,6.0,64.0,52.12762005679626,52.12762005679626,0.0,0.0,0.03,0.35,0.25,0.63,0.0,0.0,0.0,0.05,8.83,9.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7245.28,102.6,1368.64,666.9614928423829,486.0635738395487,736.08,84666975.67789118,9.5,34.018163183813215,687.1919248741814,279551.29181101674,0.89,141.55
5945.56,6.0,64.0,43.363612751436776,43.363612751436776,0.0,0.08,0.01,0.17,0.52,0.82,0.0,0.0,0.08,0.22,7.55,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4077.68,206.28,591.92,379.6556521719594,154.06636481914882,388.02,84666975.67890325,9.5,22.519728244249137,217.8473329443065,84693.394786089,0.73,141.55
9035.62,6.0,64.0,49.9473652010026,49.9473652010026,0.0,0.02,0.0,0.21,0.26,0.79,0.0,0.0,0.02,0.03,7.9,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6493.41,100.9,1116.3,591.1666592401407,378.6236387612379,555.84,84666975.67990582,9.5,30.72871186956401,534.7211443050538,210252.51914984165,0.78,141.55
7952.68,6.0,64.0,50.56682085474623,50.56682085474623,0.0,0.0,0.15,0.17,0.34,0.83,0.0,0.0,0.19,0.26,8.83,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5637.09,225.26,928.79,551.6754469923782,287.188049218172,524.1,84666975.68120211,9.5,28.87463374586104,404.642832889781,161764.48551892245,0.85,141.55
4911.65,6.0,64.0,47.89179750125852,47.89179750125852,0.0,0.0,0.03,0.11,0.57,0.86,0.0,0.0,0.0,0.1,11.47,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4477.56,131.67,837.89,392.0749268719756,301.2524717140629,487.66,84666975.68171102,9.5,26.04792141328587,426.27195908401785,184454.9224565609,0.71,141.55
10556.71,6.0,64.0,46.83335138028442,46.83335138028442,0.0,0.08,0.05,0.21,0.31,0.79,0.0,0.0,0.09,0.32,7.07,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4809.31,86.96,900.62,414.631571170144,326.0083304787576,551.4,84666975.68246402,9.5,25.162717007988345,461.47193803402666,191628.7169954734,0.93,141.55
5153.12,6.0,64.0,38.26086937789153,38.26086937789153,0.0,0.0,0.15,0.24,0.48,0.61,0.0,0.0,0.23,0.3,7.22,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3290.91,72.22,818.11,289.9182756141778,273.76467100709965,332.76,84666975.68295108,9.5,22.904577048689244,386.8516789892713,129005.26289667183,0.93,141.55
4231.37,6.0,64.0,41.484058439053726,41.484058439053726,0.0,0.0,0.01,0.23,0.65,0.77,0.0,0.0,0.23,0.01,8.71,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3397.41,94.72,694.82,296.4204182236322,216.13983247189543,361.67,84666975.68339951,9.5,23.148185462727096,305.7645457454075,85064.10728264613,0.91,141.55
11547.57,6.0,64.0,55.78358957219338,55.78358957219338,0.0,0.0,0.0,0.07,0.58,0.93,0.0,0.0,0.02,0.0,11.69,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5588.55,232.7,682.22,503.5307756947644,182.569975481092,540.87,84666975.68385573,9.5,27.91739767786364,257.3706405999477,84361.35827197565,0.77,141.55
9112.97,6.0,64.0,47.37255624919927,47.37255624919927,0.0,0.04,0.05,0.41,0.33,0.54,0.0,0.0,0.45,0.26,10.39,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4190.75,56.41,764.52,375.9640828924687,312.8094995536839,402.78,84666975.68485937,9.5,23.79399067552559,442.4696015384857,198357.2748247816,0.88,141.55
19836.63,6.0,64.0,66.94754274828595,66.94754274828595,0.0,0.02,0.03,0.32,0.34,0.65,0.0,0.0,0.34,0.06,15.53,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7447.31,317.4,1241.33,764.9463637898909,387.3097848482536,666.63,84666975.68594141,9.5,36.04986182036352,547.771516855743,234041.93236720507,0.75,141.55
11205.29,6.0,64.0,41.25977503216868,41.25977503216868,0.0,0.01,0.15,0.39,0.16,0.61,0.0,0.0,0.21,0.28,8.42,12.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4060.93,91.94,735.43,377.9257067391672,245.76380052578727,403.1,84666975.6867189,9.5,23.02995612882721,347.98288829277976,136937.29007632073,0.81,141.55
5142.72,6.0,64.0,25.53710273017813,25.53710273017813,0.0,0.06,0.02,0.31,0.17,0.69,0.0,0.0,0.19,0.76,4.89,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3241.47,90.93,675.48,314.4170243408123,259.9740970198552,293.12,84666975.68756302,9.5,21.31983845664289,368.0529378226133,167654.21652054638,0.94,141.55
13705.79,6.0,64.0,35.689336597780176,35.689336597780176,0.0,0.21,0.0,0.0,0.47,1.0,0.0,0.0,0.21,0.6,6.22,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5763.07,112.96,901.1,524.7222905376357,330.31061005742527,575.91,84666975.68881688,9.5,28.46274943744335,467.276470398302,198816.3200117228,0.95,141.55
7883.37,6.0,64.0,21.543361876128387,21.543361876128387,0.0,0.2,0.04,0.0,0.29,0.96,0.0,0.0,0.2,0.99,2.78,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3242.24,66.16,510.82,272.1524418780394,180.4468495347433,321.38,84666975.68979168,9.5,19.258629864488533,254.3646591619511,107426.34200443918,0.85,141.55
12231.53,6.0,64.0,33.21170899462558,33.21170899462558,0.0,0.15,0.0,0.06,0.45,0.94,0.0,0.0,0.43,0.59,5.63,14.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4789.42,134.64,1010.43,447.9264938765225,307.1084796723159,488.49,84666975.6906519,9.5,26.626973288412728,432.9833667694196,154740.44620268774,0.94,141.55
6877.42,6.0,64.0,42.51400489944256,42.51400489944256,0.0,0.01,0.07,0.26,0.31,0.67,0.0,0.0,0.51,0.18,6.7,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8144.43,289.68,1091.48,740.5672169368729,297.8683195772512,828.61,84666975.69174077,9.5,34.003480893994585,420.7175492744047,156666.03313702537,0.87,141.55
17340.3,6.0,64.0,59.1255764518176,59.1255764518176,0.0,0.02,0.05,0.26,0.33,0.69,0.0,0.0,0.43,0.11,10.26,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9866.52,235.04,1325.24,877.1769254830565,482.7568249046748,914.41,84666975.69269668,9.5,39.78991896024613,682.2750468444815,313566.68240370974,0.85,141.55
11858.16,6.0,64.0,30.79402747781561,30.79402747781561,0.0,0.05,0.15,0.01,0.31,0.84,0.0,0.0,0.38,0.35,5.19,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10150.5,296.36,1441.68,954.6986167328544,442.84948573867126,960.34,84666975.69386965,9.5,41.56661423694101,626.8009537901501,257645.8483252714,0.8,141.55
17420.61,6.0,64.0,37.502722468334376,37.502722468334376,0.0,0.0,0.04,0.0,0.58,0.96,0.0,0.0,0.47,0.08,5.14,19.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12502.67,442.6,1476.79,1175.9756658768647,418.8411496922448,1201.72,84666975.69474632,9.5,48.11361054890836,592.365138768714,225564.49459538463,0.81,141.55
5692.15,6.0,64.0,22.386736436935085,22.386736436935085,0.0,0.05,0.01,0.47,0.15,0.52,0.0,0.0,0.52,0.33,4.71,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4144.38,82.32,1351.56,439.13064466690855,504.57757437138525,340.9,84666975.69549684,9.5,27.949718738093864,713.4092691891907,297629.44373218506,0.93,141.55
4713.29,6.0,64.0,19.54816679888889,19.54816679888889,0.0,0.05,0.0,0.26,0.27,0.74,0.0,0.0,0.31,0.37,3.53,7.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1896.48,63.0,276.11,148.6670765694144,99.5041559447715,208.81,84666975.69616416,9.5,15.235600918784256,140.72292752728362,62524.26673940214,0.91,141.55
4237.21,6.0,64.0,22.66321568963924,22.66321568963924,0.0,0.04,0.0,0.18,0.58,0.82,0.0,0.0,0.24,0.33,3.37,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2758.33,178.18,479.26,302.11283619003973,125.44090818862568,263.11,84666975.69659555,9.5,21.441201294288195,175.3246847267214,65432.25247678892,0.79,141.55
12868.63,6.0,64.0,29.24430752225265,29.24430752225265,0.0,0.0,0.0,0.5,0.23,0.5,0.0,0.0,0.96,0.44,3.56,17.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6579.61,263.63,1353.4,703.4367960888012,429.0766007578586,659.93,84666975.69731727,9.5,34.45059498697959,607.1827739335023,254467.36426538185,0.76,141.55
2704.57,6.0,64.0,14.52079534162916,14.52079534162916,0.0,0.0,0.17,0.81,0.0,0.19,0.0,0.0,0.75,0.71,2.14,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,603.96,54.2,68.4,57.513124912239455,5.550018148433489,57.64,84666975.69765455,9.5,10.720421329864294,7.852172747020896,45.08774109929326,0.71,141.55
3338.86,6.0,64.0,19.291435643154298,19.291435643154298,0.0,0.02,0.17,0.22,0.17,0.63,0.0,0.0,0.66,0.88,5.29,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3985.91,282.0,475.59,369.5367973497091,66.41166757849022,396.49,84666975.69810705,9.5,21.049043301618685,92.4406516530201,31118.988827196405,0.61,141.55
2771.4,6.0,64.0,15.713209650994456,15.713209650994456,0.0,0.05,0.14,0.51,0.04,0.49,0.0,0.0,0.63,0.88,3.0,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,827.44,54.24,257.56,75.21548077429966,54.40331420925919,75.64,84666975.698764,9.5,11.971245855591262,77.02772806508933,19478.507784700043,0.83,141.55
14816.27,6.0,64.0,33.38068520368916,33.38068520368916,0.0,0.0,0.05,0.12,0.42,0.83,0.0,0.0,0.52,0.26,4.82,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7892.74,179.99,1187.04,700.6411397732815,451.7555140232817,798.0,84666975.69960728,9.5,34.712093133819344,639.0918203865428,295731.3036194071,0.86,141.55
9337.54,6.0,64.0,29.44828216912128,29.44828216912128,0.0,0.12,0.0,0.02,0.42,0.98,0.0,0.0,0.66,0.72,7.17,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6277.52,114.09,1412.56,582.0581673917328,523.485667657892,645.61,84666975.70016235,9.5,32.55463766933692,740.8570647799888,309050.5226159944,0.94,141.55
12489.42,6.0,64.0,33.21254973038484,33.21254973038484,0.0,0.04,0.01,0.0,0.39,0.99,0.0,0.0,0.58,0.36,7.75,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7194.28,184.79,1234.22,721.8444579939755,440.96219361303,703.26,84666975.70111834,9.5,35.41149119057332,620.2560311495695,259819.7863779067,0.77,141.55
9265.66,6.0,64.0,28.42653124755956,28.42653124755956,0.0,0.0,0.0,0.31,0.26,0.69,0.0,0.0,0.67,0.83,6.01,16.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4883.46,99.91,1019.11,479.8461907202704,382.8774319468696,445.96,84666975.70212477,9.5,27.60468545770769,541.8990460284462,235503.9061912008,0.89,141.55
11719.69,6.0,64.0,32.382429441546435,32.382429441546435,0.0,0.02,0.0,0.28,0.31,0.72,0.0,0.0,0.78,0.82,9.38,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7312.67,368.51,1123.82,679.8569591151022,297.72741512482514,686.85,84666975.70311801,9.5,32.968464955086795,420.60556466491727,165413.30123008855,0.7,141.55
8612.22,6.0,64.0,25.34542667080811,25.34542667080811,0.0,0.03,0.15,0.05,0.33,0.8,0.0,0.0,0.25,0.85,4.59,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4853.92,75.58,1268.4,418.0182335998195,475.0764016645975,504.14,84666975.70373574,9.5,27.68308602334143,672.5357373994807,278737.98230531404,0.84,141.55
4063.38,6.0,64.0,22.10245423663364,22.10245423663364,0.0,0.0,0.04,0.13,0.73,0.85,0.0,0.0,0.68,1.17,5.09,12.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1683.1,88.94,247.59,155.14700840460708,53.56585828579043,173.6,84666975.70406142,9.5,17.330590518207327,75.70680841178938,3620.292756066117,0.86,141.55
5290.68,6.0,64.0,16.75090036345562,16.75090036345562,0.0,0.0,0.0,0.58,0.21,0.42,0.0,0.0,0.94,1.06,3.18,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,999.56,63.05,320.8,98.2111465506028,76.74526242569367,85.47,84666975.70501165,9.5,13.72139991661051,108.68628586230916,20226.529719632446,0.9,141.55
